decile,customers,converters,conv_rate,revenue,reward_cost,msg_cost,total_cost,gross_profit,net_profit,roi,cum_customers,cum_pct_audience,cum_converters,cum_gain_pct,cum_conv_rate,decile_lift,cum_lift,cum_revenue,cum_total_cost,cum_reward_cost,cum_gross_profit,cum_net_profit,cum_roi
D1,1522,1304,0.8567674113009198,90631.28,4561.0,76.1,4637.1,54378.77,49741.67,10.73,1522,10.003286230693394,1304,21.582257530619,0.8567674113009198,2.1575167432875695,2.1575167432875695,90631.28,4637.1,4561.0,54378.77,49741.67,10.73
D2,1521,1212,0.796844181459566,86854.68,5450.0,76.05,5526.05,52112.81,46586.76,8.43,3043,20.0,2516,41.64184045018206,0.8268156424581006,2.006617712828086,2.082092022509103,177485.96,10163.150000000001,10011.0,106491.57999999999,96328.43,9.48
D3,1522,1101,0.7233902759526938,67259.97,6409.0,76.1,6485.1,40355.98,33870.88,5.22,4565,30.003286230693394,3617,59.86428334988414,0.7923329682365827,1.821645655183753,1.9952575491095013,244745.93,16648.25,16420.0,146847.56,130199.31,7.82
D4,1521,928,0.6101249178172256,42860.32,5193.0,76.05,5269.05,25716.19,20447.14,3.88,6086,40.0,4545,75.22343594836147,0.7467959250739402,1.5364201629574787,1.8805858987090367,287606.25,21917.3,21613.0,172563.75,150646.45,6.87
D5,1522,682,0.4480946123521682,35726.24,3642.0,76.1,3718.1,21435.74,17717.64,4.77,7608,50.0032862306934,5227,86.51108904336311,0.6870399579390115,1.1283944930384375,1.7301080701823999,323332.49,25635.399999999998,25255.0,193999.49,168364.09000000003,6.57
D6,1521,458,0.30111768573307035,34246.82,2939.0,76.05,3015.05,20548.09,17533.04,5.82,9129,60.0,5685,94.09136047666335,0.6227407163982912,0.758276330425135,1.5681893412777228,357579.31,28650.449999999997,28194.0,214547.58,185897.13000000003,6.49
D7,1521,267,0.1755424063116371,33679.34,2579.0,76.05,2655.05,20207.6,17552.55,6.61,10650,69.99671376930661,5952,98.51042701092354,0.5588732394366197,0.44205192188539527,1.4073578844800014,391258.65,31305.499999999996,30773.0,234755.18,203449.68000000002,6.5
D8,1522,87,0.05716162943495401,24657.97,1921.0,76.1,1997.1,14794.78,12797.68,6.41,12172,80.0,6039,99.95034756703079,0.49613867893526126,0.14394475204449275,1.249379344587885,415916.62,33302.6,32694.0,249549.96,216247.36000000002,6.49
D9,1521,3,0.0019723865877712033,5828.69,72.0,76.05,148.05,3497.21,3349.16,22.62,13693,89.99671376930661,6042,100.0,0.44124735266194404,0.004966875526802194,1.1111516833418535,421745.31,33450.65,32766.0,253047.16999999998,219596.52000000002,6.56
D10,1522,0,0.0,6098.44,57.0,76.1,133.1,3659.06,3525.96,26.49,15215,100.0,6042,100.0,0.3971081169898127,0.0,1.0,427843.75,33583.75,32823.0,256706.22999999998,223122.48,6.64
